Measurement Name :,run_5_light_7_12_23-583,,Generated On :,"12/07/2023, 15:04:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 14:45:39",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 15:03:47",,,,,,O2_cal0 [°],56.14,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-583,,,,,,O2_T0 [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 14:56:12,10.55,286.83,246.08,210.53,168.86,164.24,262.23,255.89,278.69,321.88,274.64,196.04,19.51,183.98,278.28,104.65,196.41,286.83,41.61,243.74,258.66,206.42,244.91,97.74,273.44,,23,969,35,24.41,969D6-(E1);
12.07.23 14:56:27,10.8,234.84,233.68,185.43,133.58,182.53,183.25,213.9,222.6,244.52,249.21,159.99,64.94,228.31,192.74,132.21,218.81,215.03,0,257.47,235.99,164.24,219.94,106.64,215.79,,23,969,35,24.44,969D6-(E1);
12.07.23 14:56:42,11.05,277.07,251.17,180.72,159.64,209.4,212.03,234.84,290.52,303.76,262.63,196.78,53.97,216.16,216.54,119.33,251.56,210.15,29.12,261.04,277.47,218.43,212.4,137.35,239.86,,23,969,35,24.43,969D6-(E1);
12.07.23 14:56:57,11.3,328.71,292.99,248.42,207.16,242.57,294.64,342.55,268.22,318.9,257.87,258.66,79.25,263.82,275.45,148.42,270.62,234.84,17.12,324.01,339.94,217.67,236.38,138.73,266.22,,23,969,35,24.44,969D6-(E1);
12.07.23 14:57:12,11.55,316.78,173.15,221.46,139.42,166.02,273.03,288.47,233.3,262.63,199.73,258.26,25.5,200.47,165.3,117.99,197.15,233.3,13.85,253.53,321.03,165.3,194.21,153.66,235.22,,23,969,35,24.44,969D6-(E1);
12.07.23 14:57:27,11.8,125.41,192.37,127.44,137.7,116.31,207.91,220.7,210.15,216.16,148.77,115.64,0,161.76,212.03,93.49,201.59,173.87,< 0 µmol,171.01,204.93,91.86,164.95,92.51,242.57,,23,969,35,24.44,969D6-(E1);
12.07.23 14:57:42,12.05,370.43,231.76,276.26,182.89,248.82,222.6,341.24,269.82,352.19,280.72,255.89,107.97,347.79,284.79,142.18,246.86,204.18,77.01,261.04,285.6,217.67,262.63,130.51,365.05,,23,969,35,24.44,969D6-(E1);
12.07.23 14:57:57,12.3,275.86,247.64,207.16,155.77,180.72,227.93,264.22,274.24,333.45,212.03,203.44,55.21,206.04,210.9,105.65,224.88,246.08,2.94,340.81,256.68,167.79,230.22,128.46,236.76,,23,969,35,24.44,969D6-(E1);
12.07.23 14:58:12,12.55,247.25,277.88,271.83,191.64,161.05,261.04,315.52,242.96,324.43,276.26,255.89,51.17,258.26,210.15,144.95,196.41,221.46,36.71,236.76,297.94,143.22,211.65,141.49,261.44,,23,969,35,24.45,969D6-(E1);
12.07.23 14:58:27,12.8,308.78,303.76,264.22,201.96,242.96,334.31,269.02,305.43,381.29,246.86,255.5,92.18,244.13,239.86,129.14,223.74,320.18,36.41,329.14,320.18,214.66,282.75,164.59,305.43,,23,969,35,24.45,969D6-(E1);
