Measurement Name :,run_4_light_7_12_23-583,,Generated On :,"12/07/2023, 14:17:05",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 14:07:12,10.28,261.83,294.22,174.23,188.35,159.29,235.22,265.02,267.42,281.94,209.03,243.74,131.19,172.44,212.03,156.82,239.86,259.45,47.15,249.99,291.75,201.96,278.28,165.66,214.66,,23,969,35,24.09,969D6-(E1);
12.07.23 14:07:27,10.53,200.47,235.22,168.51,108.3,161.41,185.43,199.73,240.63,278.28,140.8,189.81,83.11,156.12,131.87,47.15,203.81,167.44,0,230.61,219.56,123.04,217.67,59.59,253.92,,23,969,35,24.11,969D6-(E1);
12.07.23 14:07:42,10.78,259.85,261.83,199.73,161.41,247.25,204.93,281.94,269.82,336.04,221.08,238.7,128.8,235.61,218.05,216.92,254.71,307.52,10.59,275.45,243.74,216.16,233.3,202.33,267.82,,23,969,35,24.13,969D6-(E1);
12.07.23 14:07:57,11.03,203.81,251.95,219.18,183.62,253.92,220.7,271.02,243.35,270.62,214.28,197.15,66.51,162.47,196.04,123.38,219.18,192.74,0,246.47,219.56,143.91,248.42,138.04,258.66,,23,969,35,24.13,969D6-(E1);
12.07.23 14:08:12,11.28,245.69,279.09,257.47,192,271.02,219.18,269.02,218.43,257.47,241.41,198.26,125.41,247.25,203.81,130.85,196.41,239.47,0,342.55,280.31,183.62,306.27,163.18,266.22,,23,969,35,24.13,969D6-(E1);
12.07.23 14:08:27,11.53,359.71,246.47,189.81,172.08,146.34,213.9,316.36,248.42,346.48,207.91,270.22,152.26,287.65,247.64,188.35,230.61,268.62,< 0 µmol,245.3,272.63,174.23,307.52,143.22,212.78,,23,969,35,24.16,969D6-(E1);
12.07.23 14:08:42,11.78,186.52,235.99,307.1,172.44,237.92,205.3,225.26,303.34,305.43,275.86,239.47,103.99,236.76,340.37,202.7,225.64,255.89,30.94,283.97,243.35,175.31,313.83,153.31,233.3,,23,969,35,24.16,969D6-(E1);
12.07.23 14:08:57,12.03,294.64,275.86,267.82,196.04,258.26,235.22,314.67,307.94,275.05,349.11,254.71,182.53,292.16,282.75,181.44,241.8,263.03,21.6,285.6,266.62,221.08,229.84,187.98,289.29,,23,969,35,24.18,969D6-(E1);
12.07.23 14:09:12,12.28,297.11,274.64,273.03,147.73,97.08,200.47,293.4,243.74,256.29,222.98,162.47,85.69,238.31,248.42,119.33,206.42,206.42,20.1,222.22,222.98,176.75,194.57,123.38,213.9,,23,969,35,24.18,969D6-(E1);
12.07.23 14:09:27,12.53,250.78,308.78,274.24,264.22,231.38,370.88,368.64,259.85,324.01,357.49,275.86,115.3,241.8,282.75,161.05,269.82,326.14,74.77,303.34,264.62,215.03,277.07,156.12,274.64,,23,969,35,24.18,969D6-(E1);
12.07.23 14:09:42,12.78,155.07,191.27,127.78,81.18,128.12,196.78,158.23,209.03,241.8,177.83,176.75,41.91,179.99,130.17,61.16,125.41,167.08,< 0 µmol,163.88,262.23,106.64,184.34,100.04,190.54,,23,969,35,24.2,969D6-(E1);
12.07.23 14:09:57,13.03,323.15,278.69,251.95,213.53,233.3,267.02,241.41,306.27,276.26,286.83,324.86,115.97,230.22,302.51,158.23,260.24,283.56,7.05,253.13,311.3,127.44,218.43,141.14,231.76,,23,969,35,24.2,969D6-(E1);
12.07.23 14:10:12,13.28,297.53,231.76,198.26,189.81,176.03,281.94,272.63,239.08,303.34,238.31,232.53,68.73,255.1,308.78,147.03,224.12,255.1,1.77,237.15,291.34,171.01,271.42,124.05,284.79,,23,969,35,24.23,969D6-(E1);
12.07.23 14:10:27,13.53,231.76,215.79,244.52,203.07,208.28,304.18,261.44,397.82,278.28,288.47,204.93,75.41,276.66,243.35,118.66,242.57,288.47,< 0 µmol,252.74,241.41,209.78,200.1,152.26,268.62,,23,969,35,24.24,969D6-(E1);
12.07.23 14:10:42,13.78,234.07,197.89,172.44,185.43,211.65,229.08,183.62,227.55,252.74,272.63,133.92,54.28,174.23,151.56,134.95,288.47,213.53,< 0 µmol,232.91,244.13,169.58,178.19,103.99,194.94,,23,969,35,24.24,969D6-(E1);
12.07.23 14:10:57,14.03,212.03,285.2,286.42,218.81,147.03,265.02,231.76,254.31,255.1,266.62,270.62,94.47,215.79,299.19,136.32,269.42,247.25,12.07,279.5,234.45,189.08,293.81,117.99,247.25,,23,969,35,24.24,969D6-(E1);
12.07.23 14:11:13,14.3,328.71,249.6,256.29,217.29,241.41,222.22,299.19,254.31,331.29,307.1,284.38,134.95,262.23,282.34,138.38,306.69,163.18,78.29,314.67,229.46,234.84,213.9,197.89,281.12,,23,969,35,24.25,969D6-(E1);
12.07.23 14:11:27,14.53,333.01,339.94,248.82,195.31,186.52,321.88,296.29,312.56,343.42,227.16,229.84,86.01,344.29,314.25,188.71,185.43,276.26,22.8,291.34,306.27,190.17,267.42,161.76,281.53,,23,969,35,24.24,969D6-(E1);
12.07.23 14:11:43,14.8,255.1,253.13,192.37,176.75,157.17,253.92,210.15,212.78,235.99,258.26,182.89,70.31,202.33,266.22,124.05,181.44,162.11,< 0 µmol,194.21,226.78,146.34,235.22,118.66,238.7,,23,969,35,24.25,969D6-(E1);
12.07.23 14:11:58,15.05,250.78,246.86,237.92,177.83,270.62,234.07,224.88,231.76,343.86,230.61,149.47,91.21,173.87,190.17,167.44,274.64,267.42,39.77,250.78,284.79,174.23,232.53,132.9,254.71,,23,969,35,24.25,969D6-(E1);
12.07.23 14:12:13,15.3,199.73,255.89,163.53,139.07,190.9,117.99,248.42,269.42,221.46,196.41,180.72,98.72,158.93,234.84,147.38,239.08,223.36,3.23,246.86,203.81,178.91,186.52,117.31,247.64,,23,969,35,24.25,969D6-(E1);
12.07.23 14:12:28,15.55,272.63,270.22,224.12,174.59,212.4,330,228.69,249.6,321.88,249.21,193.47,77.33,245.3,190.9,155.07,209.03,222.22,7.93,274.24,265.02,219.94,229.46,155.07,222.6,,23,969,35,24.27,969D6-(E1);
12.07.23 14:12:43,15.8,247.64,239.86,260.64,207.91,224.88,208.66,263.82,228.69,264.62,224.88,253.13,73.49,256.29,285.2,189.81,182.16,237.54,2.06,261.44,268.22,163.53,222.22,158.58,241.8,,23,969,35,24.27,969D6-(E1);
12.07.23 14:12:58,16.05,241.41,189.08,221.08,167.79,132.9,291.75,222.22,208.28,293.4,245.69,251.56,23.4,234.45,243.35,121.01,261.44,204.56,18.31,212.4,207.91,178.91,197.15,110.63,207.54,,23,969,35,24.27,969D6-(E1);
12.07.23 14:13:13,16.3,325.72,211.65,197.52,193.84,231.76,295.05,300.85,264.22,244.52,181.08,251.95,90.55,231.76,210.9,179.63,210.53,251.56,0,293.4,287.24,195.31,271.83,129.83,219.56,,23,969,35,24.29,969D6-(E1);
12.07.23 14:13:28,16.55,311.3,301.68,235.22,173.87,214.66,283.97,251.56,271.02,315.94,218.43,299.6,145.64,314.25,275.05,199,287.24,267.42,45.6,281.12,327.43,235.22,280.31,197.52,267.82,,23,969,35,24.29,969D6-(E1);
12.07.23 14:13:43,16.8,279.9,283.16,253.53,177.11,189.08,277.47,205.3,339.5,283.16,303.76,344.73,115.64,268.62,294.22,143.22,226.4,307.52,42.53,318.9,299.19,182.89,298.36,140.8,289.29,,23,969,35,24.29,969D6-(E1);
12.07.23 14:13:58,17.05,216.54,308.36,244.91,187.98,281.53,241.02,314.25,283.56,411.83,322.73,141.49,83.43,253.13,241.8,93.81,264.62,261.04,41.3,261.44,257.87,254.31,296.7,141.14,227.16,,23,969,35,24.29,969D6-(E1);
12.07.23 14:14:13,17.3,325.29,264.62,217.67,167.08,168.86,286.83,211.28,268.22,270.62,233.3,147.73,78.29,199,214.28,174.23,222.6,222.6,25.2,283.97,286.83,203.81,244.91,178.55,271.02,,23,969,35,24.29,969D6-(E1);
12.07.23 14:14:28,17.55,310.46,215.41,215.03,181.08,135.29,224.5,279.09,270.22,292.16,179.27,224.5,97.08,230.22,206.42,115.64,177.83,254.71,< 0 µmol,210.53,230.61,167.79,212.03,154.71,241.41,,23,969,35,24.29,969D6-(E1);
12.07.23 14:14:43,17.8,247.25,198.63,179.27,120,94.14,292.57,174.23,203.44,320.6,183.25,148.08,65.88,206.04,199,111.29,207.16,243.35,< 0 µmol,168.51,195.68,153.31,152.26,79.25,191.27,,23,969,35,24.29,969D6-(E1);
12.07.23 14:14:58,18.05,195.31,219.18,204.56,107.97,167.79,271.02,232.53,286.83,376.75,284.38,239.08,43.14,238.31,207.91,109.3,178.19,237.54,0,265.82,263.82,165.3,200.84,89.9,231.38,,23,969,35,24.31,969D6-(E1);
12.07.23 14:15:13,18.3,195.68,219.18,222.98,158.58,76.69,221.08,209.78,190.54,253.13,255.1,152.96,45.3,222.98,165.3,143.91,221.46,196.04,< 0 µmol,232.91,210.53,127.44,206.79,111.96,261.04,,23,969,35,24.31,969D6-(E1);
12.07.23 14:15:28,18.55,241.8,242.19,162.47,132.55,172.44,230.99,211.65,231.76,244.13,275.45,200.84,67.46,269.02,198.63,65.88,189.81,225.64,< 0 µmol,290.93,255.89,154.01,216.54,147.38,215.79,,23,969,35,24.31,969D6-(E1);
12.07.23 14:15:43,18.8,279.9,288.06,242.96,209.4,270.22,300.02,267.82,239.47,236.38,221.84,275.05,61.79,235.22,310.46,192.37,241.8,272.63,15.04,309.62,313.4,201.21,250.78,151.91,248.03,,23,969,35,24.31,969D6-(E1);
12.07.23 14:15:58,19.05,271.42,279.09,209.78,188.71,227.93,236.76,254.31,277.07,307.1,205.3,180.72,69.36,212.4,234.84,100.04,232.14,237.54,33.36,255.89,262.63,193.84,219.56,192.74,262.23,,23,969,35,24.31,969D6-(E1);
12.07.23 14:16:13,19.3,351.31,269.02,252.74,167.44,208.66,260.24,266.62,228.69,304.6,236.76,198.26,81.5,192.74,249.21,132.55,239.08,291.34,43.76,229.46,270.22,160.7,245.3,137.35,281.53,,23,969,35,24.29,969D6-(E1);
