Measurement Name :,run_4_light_7_12_23-1173,,Generated On :,"12/07/2023, 14:17:11",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0009001173      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 050
Ref LED current   : 050
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 14:07:12,10.28,285.2,348.23,256.29,361.04,192,276.66,283.97,259.85,231.76,200.1,198.63,210.53,134.95,255.5,84.08,254.71,168.15,226.78,263.42,285.6,206.42,276.26,310.46,297.11,,23,969,35,24.2,969D6-(E1);
12.07.23 14:07:27,10.53,252.35,324.86,274.64,338.64,197.52,269.42,295.87,207.54,288.88,252.74,180.36,200.47,117.99,253.92,111.96,267.02,148.42,236.38,293.4,250.38,213.53,324.86,327.86,311.72,,23,969,35,24.2,969D6-(E1);
12.07.23 14:07:42,10.78,289.29,392.28,299.6,395.97,277.47,297.11,335.6,278.28,292.57,289.7,199.73,205.3,151.91,317.21,150.86,295.46,190.54,200.84,338.2,286.83,240.63,260.24,314.67,298.77,,23,969,35,24.23,969D6-(E1);
12.07.23 14:07:57,11.03,299.19,272.63,223.36,341.68,176.03,240.25,294.22,220.7,184.7,234.07,181.44,187.62,132.55,255.1,120,209.78,149.12,151.91,257.87,261.83,210.53,288.47,280.72,256.68,,23,969,35,24.23,969D6-(E1);
12.07.23 14:08:12,11.28,277.07,357.49,242.96,339.07,255.5,314.25,290.93,242.96,221.84,198.63,141.83,176.75,157.53,298.36,88.61,257.47,170.29,164.59,300.02,314.25,207.54,292.16,303.34,278.28,,23,969,35,24.24,969D6-(E1);
12.07.23 14:08:27,11.53,299.6,331.72,295.05,357.04,172.08,243.35,283.16,245.3,231.76,214.28,157.53,179.63,153.66,310.04,103.99,253.92,165.3,171.36,335.6,263.82,209.03,256.29,286.01,283.97,,23,969,35,24.26,969D6-(E1);
12.07.23 14:08:42,11.78,281.12,321.88,271.02,324.43,189.44,231.76,328.71,214.28,285.2,176.03,151.56,192.37,135.29,278.28,97.41,267.82,186.16,190.54,301.68,286.42,210.9,234.07,247.25,324.86,,23,969,35,24.26,969D6-(E1);
12.07.23 14:08:57,12.03,292.57,349.55,237.92,360.15,221.08,271.42,248.03,228.69,234.84,181.44,182.16,197.15,138.38,302.51,139.42,258.26,165.66,207.91,287.65,320.18,220.7,262.63,301.26,285.2,,23,969,35,24.27,969D6-(E1);
12.07.23 14:09:12,12.28,308.36,347.35,313.4,368.64,302.51,257.47,334.74,245.3,250.78,215.03,187.98,202.33,165.3,287.24,132.55,324.86,216.54,229.08,327,266.22,259.45,316.36,337.77,294.22,,23,969,35,24.29,969D6-(E1);
12.07.23 14:09:27,12.53,286.83,336.9,279.9,332.15,197.15,256.68,285.6,256.68,213.9,178.19,153.66,189.44,145.99,246.86,59.59,249.99,168.15,185.07,261.44,301.26,175.67,270.22,337.77,313.83,,23,969,35,24.29,969D6-(E1);
12.07.23 14:09:42,12.78,301.68,315.09,290.52,333.01,189.44,301.68,285.2,254.31,257.87,200.1,157.88,215.03,155.42,272.63,99.05,278.69,202.7,157.88,307.52,288.88,248.42,291.75,307.1,285.2,,23,969,35,24.3,969D6-(E1);
12.07.23 14:09:57,13.03,260.64,293.4,269.82,316.78,193.47,239.47,275.86,235.99,185.8,178.55,157.17,134.61,124.39,312.98,64.62,279.09,209.78,161.05,251.56,302.09,210.15,243.74,271.42,277.88,,23,969,35,24.3,969D6-(E1);
12.07.23 14:10:12,13.28,240.63,288.06,244.13,299.19,184.34,253.53,252.35,212.78,202.7,164.59,106.97,146.68,128.46,260.64,85.04,226.02,143.91,165.3,254.31,251.56,180.36,253.13,265.82,300.43,,23,969,35,24.3,969D6-(E1);
12.07.23 14:10:27,13.53,267.02,292.57,269.42,321.03,220.32,268.22,286.83,250.38,263.42,242.96,170.65,163.53,122.03,272.63,135.64,276.26,162.11,192,277.47,274.64,231.76,255.5,306.27,328.71,,23,969,35,24.31,969D6-(E1);
12.07.23 14:10:42,13.78,249.6,307.1,244.91,309.62,197.89,280.72,281.94,228.69,239.86,194.94,154.36,184.34,140.8,285.2,105.32,274.64,187.25,133.58,287.65,264.62,195.68,220.7,281.53,253.53,,23,969,35,24.31,969D6-(E1);
12.07.23 14:10:57,14.03,273.44,316.36,267.42,306.69,158.93,257.08,277.07,222.98,227.16,188.71,171.36,162.82,144.6,243.74,74.45,277.07,167.79,190.9,299.6,264.22,193.1,240.25,271.02,256.68,,23,969,35,24.3,969D6-(E1);
12.07.23 14:11:13,14.3,303.34,289.29,280.72,324.01,159.64,279.09,289.7,229.46,206.79,177.11,175.67,153.66,149.82,330.86,73.81,274.64,168.86,197.52,279.09,265.82,202.33,255.5,249.6,266.22,,23,969,35,24.31,969D6-(E1);
12.07.23 14:11:27,14.53,254.31,319.75,275.86,330.86,203.81,288.06,281.12,226.02,235.99,151.56,151.56,194.57,141.49,314.67,107.64,277.88,192,186.52,255.89,292.57,175.67,266.62,318.9,310.46,,23,969,35,24.33,969D6-(E1);
12.07.23 14:11:43,14.8,299.19,282.75,249.99,420.35,245.3,246.47,271.42,253.53,242.96,203.81,151.91,154.01,116.31,310.88,122.03,273.44,226.4,163.18,321.03,335.17,218.43,301.26,311.72,313.83,,23,969,35,24.31,969D6-(E1);
12.07.23 14:11:58,15.05,283.56,290.93,247.25,314.67,173.51,237.92,257.87,188.71,171.72,161.41,118.99,128.8,136.67,255.1,92.18,186.16,157.88,152.96,255.89,216.54,175.67,248.82,294.64,271.02,,23,969,35,24.33,969D6-(E1);
12.07.23 14:12:13,15.3,290.11,283.16,258.66,333.01,199,255.1,240.25,237.92,256.68,174.95,179.99,164.59,130.51,297.11,91.53,257.47,163.53,166.02,248.42,302.09,189.81,230.99,257.87,283.16,,23,969,35,24.33,969D6-(E1);
12.07.23 14:12:28,15.55,302.09,297.53,279.9,347.35,160.35,274.24,252.74,230.99,221.84,229.46,157.53,161.05,114.97,278.28,84.72,283.56,185.43,195.68,277.47,238.31,199.73,244.52,238.31,278.69,,23,969,35,24.33,969D6-(E1);
12.07.23 14:12:43,15.8,244.52,335.17,271.42,359.71,198.63,253.92,284.38,234.84,236.38,261.44,103.33,184.34,125.41,253.53,80.53,256.68,197.52,176.03,267.82,248.03,185.8,235.99,268.22,283.16,,23,969,35,24.33,969D6-(E1);
12.07.23 14:12:58,16.05,245.3,297.53,235.61,315.09,169.22,251.95,296.29,228.69,200.1,200.47,123.04,181.8,140.8,315.94,89.26,274.64,178.55,146.34,267.82,257.87,200.84,248.42,258.66,253.13,,23,969,35,24.33,969D6-(E1);
12.07.23 14:13:13,16.3,278.69,307.52,275.86,298.77,197.52,242.57,305.43,193.84,219.94,226.02,162.82,162.11,116.64,294.64,71.9,269.42,167.08,146.68,263.82,248.42,171.36,225.26,298.77,263.42,,23,969,35,24.34,969D6-(E1);
12.07.23 14:13:28,16.55,255.5,286.01,230.99,332.15,176.03,244.52,298.77,257.08,251.56,209.4,171.36,176.39,120,279.09,113.96,242.19,151.91,178.91,280.72,277.47,197.15,292.57,286.83,312.14,,23,969,35,24.33,969D6-(E1);
12.07.23 14:13:43,16.8,266.22,277.47,252.74,318.48,207.91,249.99,313.83,219.18,234.07,169.93,178.91,169.58,128.8,304.18,93.49,306.69,167.44,174.59,264.22,278.69,222.98,253.92,289.29,297.53,,23,969,35,24.34,969D6-(E1);
12.07.23 14:13:58,17.05,248.42,290.11,290.11,342.11,201.96,263.03,253.92,261.04,197.89,141.14,189.81,224.88,121.01,270.62,78.29,253.13,166.37,188.35,252.35,290.52,210.9,241.02,286.42,300.85,,23,969,35,24.33,969D6-(E1);
12.07.23 14:14:13,17.3,346.04,275.05,286.42,378.11,145.3,238.31,239.47,215.79,281.12,187.25,159.29,185.8,141.83,303.34,37.02,259.85,164.95,167.79,224.88,255.1,215.03,229.84,257.47,250.78,,23,969,35,24.33,969D6-(E1);
12.07.23 14:14:28,17.55,307.52,348.67,275.86,333.88,192.37,205.67,300.85,273.44,200.1,182.89,186.16,194.21,145.99,282.34,79.89,241.41,200.84,215.79,318.9,253.13,215.41,266.22,287.65,317.63,,23,969,35,24.34,969D6-(E1);
12.07.23 14:14:43,17.8,261.83,288.47,262.23,344.73,143.91,235.61,286.83,225.26,227.55,197.15,164.59,183.25,102.01,262.23,75.73,210.53,127.1,187.98,292.99,281.12,237.15,246.86,254.71,282.75,,23,969,35,24.34,969D6-(E1);
12.07.23 14:14:58,18.05,305.01,281.12,304.6,368.19,203.44,286.01,310.88,205.67,239.08,222.6,136.67,193.84,176.75,334.74,121.35,241.41,211.28,226.4,283.56,241.8,175.67,238.7,308.36,263.03,,23,969,35,24.33,969D6-(E1);
12.07.23 14:15:13,18.3,265.82,310.04,300.02,362.38,180.36,267.02,291.34,264.62,217.67,185.07,190.17,172.44,167.44,324.01,112.29,272.23,173.51,187.25,320.18,302.51,234.07,235.22,300.02,284.38,,23,969,35,24.33,969D6-(E1);
12.07.23 14:15:28,18.55,263.03,244.52,251.56,309.62,213.15,255.5,241.02,215.41,186.16,158.23,145.99,168.51,111.63,309.62,107.97,246.86,199,159.29,316.36,221.08,188.71,236.76,255.89,225.64,,23,969,35,24.34,969D6-(E1);
12.07.23 14:15:43,18.8,332.15,330,286.42,368.64,200.84,265.42,343.42,250.38,243.35,210.15,158.58,178.19,167.79,315.52,112.96,286.83,157.53,192.74,314.67,271.42,231.38,277.07,262.23,331.72,,23,969,35,24.33,969D6-(E1);
12.07.23 14:15:58,19.05,302.09,307.52,240.63,341.68,162.47,249.21,232.91,237.54,239.47,178.19,142.87,174.59,111.29,310.04,60.22,226.02,152.26,190.17,260.24,236.38,164.24,219.56,287.65,287.24,,23,969,35,24.33,969D6-(E1);
12.07.23 14:16:13,19.3,297.94,355.72,325.72,363.71,177.83,236.38,299.6,229.46,239.08,206.79,156.47,199,128.8,330.43,120.34,314.67,235.99,201.21,313.4,273.44,209.78,284.79,286.01,291.75,,23,969,35,24.33,969D6-(E1);
