Measurement Name :,run_4_dark_7_12_23-583,,Generated On :,"12/07/2023, 14:40:59",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 14:28:12,10.28,248.42,246.86,238.7,193.47,173.15,244.91,239.86,264.62,280.31,226.4,193.1,87.31,237.54,222.22,140.11,229.84,242.96,13.85,263.82,272.63,197.15,242.57,156.47,258.26,,23,969,35,23.38,
12.07.23 14:28:27,10.53,248.03,245.69,237.92,192,171.36,244.52,239.47,263.82,278.69,225.26,192.74,86.34,237.15,221.08,140.11,229.08,242.19,13.26,263.03,273.44,196.78,241.8,155.42,257.47,,23,969,35,23.38,
12.07.23 14:28:42,10.78,247.64,244.52,238.7,192,172.8,244.52,241.8,264.62,279.09,225.64,192,86.99,237.92,221.84,140.45,229.08,242.57,13.55,263.42,272.63,197.15,241.8,155.42,257.08,,23,969,35,23.38,
12.07.23 14:28:57,11.03,247.25,246.08,238.31,191.27,172.08,244.91,239.86,263.82,278.28,224.5,190.9,86.34,237.15,220.7,139.42,229.46,241.8,13.85,263.03,272.63,196.78,241.8,155.42,256.68,,23,969,35,23.36,
12.07.23 14:29:12,11.28,248.03,245.3,239.08,192,172.8,243.74,240.63,263.42,279.09,225.64,192,86.99,237.54,221.84,140.45,229.84,242.19,14.15,263.42,273.03,197.15,242.57,155.42,257.47,,23,969,35,23.36,
12.07.23 14:29:27,11.53,247.25,244.52,237.92,192,171.72,242.96,239.47,263.42,278.28,224.88,191.64,86.66,237.54,220.7,140.11,228.69,241.02,13.55,263.82,273.03,196.41,241.02,155.07,257.47,,23,969,35,23.36,
12.07.23 14:29:42,11.78,246.86,244.52,238.31,191.64,170.65,242.57,237.92,264.22,277.88,224.88,191.27,86.66,237.15,219.94,140.11,229.08,241.02,13.85,262.63,273.44,196.78,241.02,154.71,257.47,,23,969,35,23.36,
12.07.23 14:29:57,12.03,246.47,244.91,237.54,190.9,170.29,243.35,238.7,264.22,277.47,224.12,190.9,86.66,237.15,219.94,139.42,229.08,240.63,13.55,262.63,273.03,197.15,240.25,154.01,257.47,,23,969,35,23.36,
12.07.23 14:30:12,12.28,246.86,244.13,235.61,190.9,170.65,241.8,239.86,264.62,278.28,224.88,190.9,86.34,237.54,219.56,139.76,228.69,240.63,13.85,262.63,271.83,196.78,240.63,154.36,257.47,,23,969,35,23.34,
12.07.23 14:30:27,12.53,245.3,242.19,235.99,191.27,169.93,242.57,238.7,262.63,277.47,224.12,191.64,86.34,236.76,218.81,140.11,229.08,240.63,13.85,263.03,272.23,197.15,239.86,154.71,255.89,,23,969,35,23.34,
12.07.23 14:30:42,12.78,245.69,243.35,235.22,190.17,169.58,241.41,238.31,263.03,276.26,224.5,189.44,86.01,236.76,218.81,139.42,228.69,241.02,13.55,263.42,271.83,196.78,239.47,154.71,256.29,,23,969,35,23.34,
12.07.23 14:30:57,13.03,244.91,242.19,235.22,190.17,169.93,241.02,238.31,263.42,275.86,222.98,189.81,86.34,237.54,218.81,139.07,229.08,239.08,13.26,263.03,271.83,196.78,238.31,153.66,256.68,,23,969,35,23.34,
12.07.23 14:31:12,13.28,245.69,241.8,235.99,190.17,169.58,240.25,237.92,262.63,277.47,222.98,189.81,86.34,237.54,218.43,139.76,228.69,238.7,13.85,263.42,272.63,197.52,239.47,153.66,256.68,,23,969,35,23.33,
12.07.23 14:31:27,13.53,245.3,240.25,234.84,190.17,167.79,240.63,239.08,263.82,277.47,223.36,187.98,85.69,237.54,218.43,139.42,228.31,239.47,14.15,263.03,272.23,196.41,239.47,153.31,255.89,,23,969,35,23.34,
12.07.23 14:31:42,13.78,244.91,240.63,234.84,190.17,167.79,239.47,237.92,262.63,277.07,222.98,188.35,85.69,237.15,217.67,139.42,229.08,239.47,13.85,262.63,271.02,197.15,239.08,152.26,255.5,,23,969,35,23.31,
12.07.23 14:31:57,14.03,245.69,240.25,234.07,189.81,168.15,239.86,237.54,262.63,275.86,222.6,187.25,85.69,236.76,216.92,139.42,228.31,238.7,14.15,262.23,270.22,197.15,239.47,152.61,255.89,,23,969,35,23.31,
12.07.23 14:32:12,14.28,244.13,239.86,234.07,189.08,167.08,239.08,238.31,261.83,276.26,222.22,187.98,85.04,236.38,216.54,139.07,227.93,237.92,13.55,261.44,269.42,197.15,238.31,151.21,255.5,,23,969,35,23.31,
12.07.23 14:32:27,14.53,244.91,241.41,235.22,190.17,167.44,240.63,239.08,263.03,275.45,222.22,188.35,85.37,236.76,216.54,139.42,228.69,238.7,14.15,262.23,270.62,197.15,239.47,151.56,256.29,,23,969,35,23.31,
12.07.23 14:32:42,14.78,244.52,240.63,234.45,189.08,166.73,239.47,239.08,262.63,275.05,222.22,187.98,84.4,236.38,215.41,138.73,228.31,236.76,13.55,262.23,269.02,196.41,239.86,150.52,255.89,,23,969,35,23.31,
12.07.23 14:32:57,15.03,244.13,239.86,234.45,189.08,166.37,238.7,239.08,261.44,275.45,222.22,187.25,85.04,235.61,216.16,138.73,228.31,237.92,13.55,262.23,269.42,197.15,239.86,150.52,256.68,,23,969,35,23.31,
12.07.23 14:33:12,15.28,244.13,240.25,235.22,188.71,166.02,239.08,238.7,262.63,274.64,221.84,187.25,85.04,235.61,213.9,138.73,227.93,237.54,14.44,261.04,269.02,197.15,238.7,151.21,255.89,,23,969,35,23.31,
12.07.23 14:33:27,15.53,244.52,239.86,234.84,188.71,164.95,238.7,237.54,262.63,275.05,222.22,186.52,84.4,235.61,214.66,139.07,228.31,236.38,14.15,261.04,271.02,197.15,239.08,150.17,255.1,,23,969,35,23.31,
12.07.23 14:33:42,15.78,244.52,239.47,233.68,188.35,166.73,238.31,238.7,261.83,275.45,221.84,184.7,84.4,235.99,214.28,138.73,228.31,236.76,14.15,261.44,271.42,197.15,239.08,149.47,255.1,,23,969,35,23.31,
12.07.23 14:33:57,16.03,243.74,239.08,234.45,187.98,164.95,238.31,236.38,261.04,274.64,220.7,184.34,84.08,235.22,213.9,138.38,227.16,236.76,13.55,260.24,269.42,197.15,237.92,148.77,254.71,,23,969,35,23.31,
12.07.23 14:34:12,16.28,244.13,238.7,234.45,187.98,164.95,237.92,237.15,259.85,273.44,220.7,185.07,84.08,235.61,213.9,138.04,226.4,235.99,13.85,261.44,269.42,196.78,237.54,148.77,254.71,,23,969,35,23.31,
12.07.23 14:34:27,16.53,243.35,237.92,232.53,187.25,164.59,238.7,237.92,261.04,273.44,221.08,186.16,83.43,234.45,213.53,138.73,228.31,237.15,14.44,260.64,268.62,196.78,237.54,148.77,255.1,,23,969,35,23.31,
12.07.23 14:34:42,16.78,243.74,237.92,232.53,186.52,165.3,237.15,236.76,261.44,272.63,220.7,185.07,83.75,234.07,213.9,138.73,227.55,236.76,13.85,260.64,267.82,196.78,237.54,148.42,254.71,,23,969,35,23.31,
12.07.23 14:34:57,17.03,243.35,238.31,231.76,186.89,166.02,236.76,237.92,260.24,273.84,220.7,185.07,83.43,235.22,212.78,138.04,227.55,236.38,14.15,261.83,269.82,196.78,236.38,148.42,254.71,,23,969,35,23.31,
12.07.23 14:35:12,17.28,243.35,238.7,231.76,187.62,164.24,237.54,236.76,259.45,273.84,220.7,185.07,83.75,234.07,212.4,138.04,227.55,235.61,13.85,261.04,267.82,196.41,237.54,148.08,254.31,,23,969,35,23.31,
12.07.23 14:35:27,17.53,243.35,238.31,231.76,187.25,163.88,238.31,237.15,259.45,273.44,220.32,184.7,83.43,234.07,212.4,137.7,227.93,236.76,14.44,261.04,268.22,197.15,237.92,148.08,254.71,,23,969,35,23.29,
12.07.23 14:35:42,17.78,244.13,237.92,231.76,187.25,164.24,237.15,237.15,261.04,273.84,219.94,183.62,83.11,234.07,212.4,137.7,227.55,235.61,13.55,259.85,269.82,196.41,237.15,147.03,253.53,,23,969,35,23.31,
12.07.23 14:35:57,18.03,243.35,237.54,231.76,187.25,164.95,238.31,237.54,259.45,273.84,220.32,183.62,83.11,234.07,212.03,138.04,227.55,236.76,13.85,259.85,269.02,197.15,237.54,147.38,253.53,,23,969,35,23.31,
12.07.23 14:36:12,18.28,242.57,237.15,231.38,186.52,164.95,237.92,236.38,261.04,274.24,219.94,183.25,82.79,234.07,211.65,138.38,228.31,235.22,13.85,259.85,267.82,197.15,237.92,147.38,253.92,,23,969,35,23.31,
12.07.23 14:36:27,18.53,242.96,236.76,230.22,186.89,163.88,237.15,236.38,259.85,273.84,220.32,182.53,82.14,234.07,211.65,138.04,227.16,235.61,13.85,261.44,268.22,196.78,237.54,147.03,253.92,,23,969,35,23.31,
12.07.23 14:36:42,18.78,242.96,236.76,229.84,185.8,163.53,237.54,236.38,260.64,273.44,219.94,182.16,83.11,234.45,212.03,138.04,226.78,235.61,14.15,259.85,267.42,197.15,237.54,147.03,253.92,,23,969,35,23.31,
12.07.23 14:36:57,19.03,242.19,235.99,229.46,186.16,163.18,236.76,236.38,260.24,273.03,219.94,181.44,82.14,234.07,211.28,138.04,226.78,235.61,13.85,259.85,267.42,197.15,237.54,145.99,253.13,,23,969,35,23.33,
12.07.23 14:37:12,19.28,242.19,237.54,230.99,185.8,163.18,236.38,235.99,259.45,272.63,219.56,182.53,82.79,233.68,210.53,137.7,226.4,235.22,14.15,260.24,267.82,196.78,238.31,145.99,253.92,,23,969,35,23.31,
12.07.23 14:37:27,19.53,242.19,235.99,229.46,185.43,162.47,235.99,235.61,260.24,273.03,218.81,181.8,82.14,233.3,210.9,137.01,226.02,235.61,13.85,259.85,267.02,196.41,238.7,146.34,252.74,,23,969,35,23.31,
12.07.23 14:37:42,19.78,242.57,236.76,229.46,185.07,163.88,237.15,235.61,259.85,272.63,219.18,181.8,82.14,233.68,211.28,138.04,226.02,235.99,13.85,260.24,267.42,197.89,237.15,146.68,253.53,,23,969,35,23.33,
12.07.23 14:37:57,20.03,241.02,236.38,228.69,185.07,162.11,236.38,235.22,259.45,272.23,218.81,180.72,82.46,232.91,209.78,137.35,225.64,235.22,13.55,259.45,266.22,196.78,237.54,145.64,254.31,,23,969,35,23.31,
12.07.23 14:38:12,20.28,241.8,236.76,228.69,184.7,162.11,237.15,234.45,258.26,270.22,218.43,181.08,81.5,232.91,209.78,136.67,226.4,235.22,13.85,259.85,265.82,197.15,237.15,145.99,253.13,,23,969,35,23.31,
12.07.23 14:38:27,20.53,241.41,236.38,229.08,185.07,161.41,238.31,234.45,258.66,271.83,218.43,180.36,82.14,233.68,208.66,137.01,226.02,235.61,14.44,259.45,267.42,197.15,236.76,145.64,253.53,,23,969,35,23.33,
12.07.23 14:38:42,20.78,241.41,235.61,228.31,185.07,161.41,237.54,235.22,257.47,271.02,218.43,179.63,81.18,232.91,209.4,136.67,226.4,234.84,13.85,260.64,267.42,197.52,237.54,145.3,253.92,,23,969,35,23.34,
12.07.23 14:38:58,21.05,242.19,235.99,227.93,184.7,161.05,237.54,234.07,257.47,270.22,217.67,179.99,81.5,232.91,209.03,137.35,226.02,234.45,14.15,259.45,268.22,197.15,237.54,144.95,252.74,,23,969,35,23.34,
12.07.23 14:39:13,21.3,241.41,234.84,228.31,183.98,160.35,237.54,234.84,258.66,270.22,217.67,179.99,81.18,232.91,209.4,137.01,226.78,233.68,14.15,259.45,266.62,197.52,237.54,144.95,253.53,,23,969,35,23.33,
12.07.23 14:39:28,21.55,240.63,235.61,227.93,183.98,161.05,237.15,235.61,258.26,270.22,217.67,179.27,81.82,233.3,209.03,137.01,226.02,234.07,14.15,261.04,265.82,197.52,236.76,144.6,253.13,,23,969,35,23.34,
12.07.23 14:39:43,21.8,239.86,234.84,227.55,183.25,159.99,237.15,235.99,257.87,269.82,217.67,178.19,81.18,232.91,207.91,136.67,225.26,233.68,13.85,260.24,265.42,197.52,235.61,144.6,252.35,,23,969,35,23.34,
12.07.23 14:39:58,22.05,240.25,234.84,227.16,183.98,160.7,237.54,235.61,258.26,269.02,218.05,178.55,81.5,232.14,207.91,136.67,224.88,234.45,13.85,259.45,265.82,197.15,235.99,144.95,253.92,,23,969,35,23.34,
12.07.23 14:40:13,22.3,241.02,235.99,227.55,182.89,160.35,237.54,235.22,258.26,269.42,218.43,179.27,80.86,232.91,207.91,136.67,226.02,232.53,13.85,259.45,267.42,197.15,236.38,144.26,253.92,,23,969,35,23.34,
